specialty_code;profile;institution_name;education_form;funding;category;plan_places;current_places;fraction
Sp 09.03.01;Информатика и вычислительная техника;УУНиТ;Очная;Бюджетная основа;Общая;75;29;0.38666666666666666
Sp 09.03.01;Информатика и вычислительная техника;УУНиТ;Очная;Бюджетная основа;Особая;8;0;0.0
Sp 09.03.01;Информатика и вычислительная техника;УУНиТ;Очная;Бюджетная основа;Отдельная;8;1;0.125
Sp 09.03.01;Информатика и вычислительная техника;УУНиТ;Очная;Бюджетная основа;Целевая;10;1;0.1
Sp 09.03.02;Информационные системы и технологии;УУНиТ;Очная;Бюджетная основа;Общая;60;16;0.26666666666666666
Sp 09.03.02;Информационные системы и технологии;УУНиТ;Очная;Бюджетная основа;Особая;6;1;0.16666666666666666
Sp 09.03.02;Информационные системы и технологии;УУНиТ;Очная;Бюджетная основа;Отдельная;6;0;0.0
Sp 09.03.02;Информационные системы и технологии;УУНиТ;Очная;Бюджетная основа;Целевая;9;0;0.0
Sp 09.03.03;Информационные и цифровые технологии в корпоративных системах;УУНиТ;Очная;Бюджетная основа;Общая;65;25;0.38461538461538464
Sp 09.03.03;Информационные и цифровые технологии в корпоративных системах;УУНиТ;Очная;Бюджетная основа;Особая;7;0;0.0
Sp 09.03.03;Информационные и цифровые технологии в корпоративных системах;УУНиТ;Очная;Бюджетная основа;Отдельная;7;0;0.0
Sp 09.03.03;Информационные и цифровые технологии в корпоративных системах;УУНиТ;Очная;Бюджетная основа;Целевая;7;2;0.2857142857142857
Sp 09.03.03;Информационные и вычислительные технологии;УУНиТ;Очная;Бюджетная основа;Общая;30;20;0.6666666666666666
Sp 09.03.03;Информационные и вычислительные технологии;УУНиТ;Очная;Бюджетная основа;Особая;3;0;0.0
Sp 09.03.03;Информационные и вычислительные технологии;УУНиТ;Очная;Бюджетная основа;Отдельная;3;0;0.0
Sp 09.03.03;Информационные и вычислительные технологии;УУНиТ;Очная;Бюджетная основа;Целевая;3;0;0.0
Sp 09.03.03;Информационные и вычислительные технологии;УУНиТ;Заочная;Бюджетная основа;Общая;25;25;1.0
Sp 09.03.03;Информационные и вычислительные технологии;УУНиТ;Заочная;Бюджетная основа;Особая;3;0;0.0
Sp 09.03.03;Информационные и вычислительные технологии;УУНиТ;Заочная;Бюджетная основа;Отдельная;3;0;0.0
Sp 09.03.03;Информационные и вычислительные технологии;УУНиТ;Заочная;Бюджетная основа;Целевая;2;0;0.0
Sp 09.03.03;Прикладная информатика (Кумертау);Филиал в г. Кумертау;Очная;Бюджетная основа;Общая;15;6;0.4
Sp 09.03.03;Прикладная информатика (Кумертау);Филиал в г. Кумертау;Очная;Бюджетная основа;Особая;2;1;0.5
Sp 09.03.03;Прикладная информатика (Кумертау);Филиал в г. Кумертау;Очная;Бюджетная основа;Отдельная;2;0;0.0
Sp 09.03.03;Прикладная информатика (Кумертау);Филиал в г. Кумертау;Очная;Бюджетная основа;Целевая;2;0;0.0
Sp 09.03.03;Прикладная информатика (Стерлитамак);Филиал в г. Стерлитамак;Очная;Бюджетная основа;Особая;2;2;1.0
Sp 09.03.03;Прикладная информатика (Стерлитамак);Филиал в г. Стерлитамак;Очная;Бюджетная основа;Целевая;2;1;0.5
Sp 09.03.03;Прикладная информатика (Стерлитамак);Филиал в г. Стерлитамак;Очная;Бюджетная основа;Отдельная;2;0;0.0
Sp 09.03.03;Прикладная информатика (Стерлитамак);Филиал в г. Стерлитамак;Очная;Бюджетная основа;Общая;20;20;1.0
Sp 09.03.04;Программная инженерия;УУНиТ;Очная;Бюджетная основа;Общая;75;57;0.76
Sp 09.03.04;Программная инженерия;УУНиТ;Очная;Бюджетная основа;Особая;8;2;0.25
Sp 09.03.04;Программная инженерия;УУНиТ;Очная;Бюджетная основа;Отдельная;8;0;0.0
Sp 09.03.04;Программная инженерия;УУНиТ;Очная;Бюджетная основа;Целевая;8;1;0.125
Sp 09.04.01;Информатика и вычислительная техника;УУНиТ;Очная;Бюджетная основа;Общая;23;20;0.8695652173913043
Sp 09.04.01;Информатика и вычислительная техника;УУНиТ;Очная;Бюджетная основа;Целевая;2;0;0.0
Sp 09.04.02;Информационные системы и технологии;УУНиТ;Очная;Бюджетная основа;Общая;10;10;1.0
Sp 09.04.02;Информационные системы и технологии;УУНиТ;Очная;Бюджетная основа;Целевая;2;0;0.0
Sp 09.04.03;Реинжиниринг бизнес-процессов;УУНиТ;Очная;Бюджетная основа;Общая;10;8;0.8
Sp 09.04.03;Интеллектуальное управление и компьютерное моделирование;УУНиТ;Очная;Бюджетная основа;Общая;15;2;0.13333333333333333
Sp 09.04.03;Интеллектуальное управление и компьютерное моделирование;УУНиТ;Очная;Бюджетная основа;Целевая;2;0;0.0
Sp 09.04.03;Реинжиниринг бизнес-процессов;УУНиТ;Очная;Бюджетная основа;Целевая;2;0;0.0
Sp 09.04.04;Программная инженерия;УУНиТ;Очная;Бюджетная основа;Общая;10;10;1.0
